,layers,layers_config,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
421,[1024→128],"[(1024, 'relu'), (128, 'relu')]",0.995,64,0.1,0.1,3.9131,0.0009,12
422,[256→64],"[(256, 'relu'), (64, 'relu')]",0.99,64,0.1,0.01,3.9142,0.0007,13
423,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.1,0.01,3.9148,0.0009,12
424,[512→128],"[(512, 'relu'), (128, 'relu')]",0.97,64,0.1,0.001,3.9149,0.0007,11
425,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.1,0.1,3.9169,0.0007,13
426,[128→64],"[(128, 'relu'), (64, 'relu')]",0.99,64,0.1,0.001,3.9179,0.0007,22
427,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.1,0.01,3.9209,0.0007,29
428,[256→64],"[(256, 'relu'), (64, 'relu')]",0.995,64,0.1,0.001,3.923,0.0009,11
429,[128→64],"[(128, 'relu'), (64, 'relu')]",0.995,64,0.1,0.001,3.9349,0.0007,21
430,[128],"[(128, 'relu')]",0.99,64,0.1,0.001,3.9364,0.0605,15
431,[256],"[(256, 'relu')]",0.995,64,0.1,0.001,4.0054,0.0671,14
432,[128],"[(128, 'relu')]",0.97,64,0.1,0.01,4.1142,0.035,19
