,layers,layers_config,dropout,gamma,batch_size,lr,weight_decay,val_loss,val_f1_macro,epochs_trained
135,[512],"[(512, 'silu')]",0.3,0.97,512,0.01,0.01,1.5076,0.685,17
136,[512],"[(512, 'silu')]",0.5,0.99,512,0.01,0.01,1.5077,0.6816,22
137,[256],"[(256, 'leaky_relu')]",0.3,0.99,512,0.01,0.1,1.508,0.6732,20
138,[256],"[(256, 'gelu')]",0.3,0.99,258,0.01,0.1,1.5082,0.6611,14
139,[512],"[(512, 'gelu')]",0.3,0.99,258,0.01,0.001,1.5093,0.6703,14
140,[512],"[(512, 'leaky_relu')]",0.5,0.99,258,0.01,0.01,1.5101,0.689,19
141,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.99,258,0.01,0.1,1.5112,0.6313,23
142,[256→64],"[(256, 'gelu'), (64, 'silu')]",0.5,0.97,512,0.01,0.001,1.5119,0.6151,43
143,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.97,512,0.01,0.001,1.5123,0.6494,27
144,[512],"[(512, 'gelu')]",0.1,0.97,512,0.01,0.1,1.5129,0.665,15
145,[512],"[(512, 'leaky_relu')]",0.1,0.97,258,0.01,0.01,1.5138,0.6944,16
146,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.3,0.97,512,0.01,0.1,1.514,0.6557,38
147,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.3,0.99,512,0.01,0.01,1.5144,0.6541,24
148,[256],"[(256, 'leaky_relu')]",0.5,0.99,258,0.01,0.01,1.5175,0.646,19
149,[512],"[(512, 'gelu')]",0.3,0.99,258,0.01,0.1,1.5185,0.6814,14
150,[256],"[(256, 'gelu')]",0.5,0.99,258,0.01,0.001,1.52,0.6479,17
151,[256],"[(256, 'leaky_relu')]",0.3,0.97,258,0.01,0.1,1.5206,0.6756,22
152,[512],"[(512, 'silu')]",0.5,0.99,258,0.01,0.01,1.5206,0.6857,16
153,[512],"[(512, 'silu')]",0.3,0.99,512,0.01,0.001,1.5216,0.6691,18
154,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.5,0.97,512,0.01,0.01,1.5218,0.6418,63
155,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.5,0.97,512,0.01,0.001,1.5224,0.6433,59
156,[256],"[(256, 'gelu')]",0.1,0.97,512,0.01,0.1,1.5232,0.6572,18
157,[512],"[(512, 'leaky_relu')]",0.1,0.97,512,0.01,0.001,1.5248,0.6865,21
158,[512],"[(512, 'gelu')]",0.1,0.99,512,0.01,0.001,1.5268,0.6748,14
159,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.5,0.99,512,0.01,0.1,1.5283,0.6108,41
160,[256],"[(256, 'gelu')]",0.1,0.97,258,0.01,0.1,1.5289,0.6574,15
161,[256],"[(256, 'gelu')]",0.3,0.97,512,0.01,0.001,1.5304,0.665,21
162,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.97,512,0.01,0.001,1.5321,0.6003,44
163,[256],"[(256, 'leaky_relu')]",0.5,0.99,512,0.01,0.001,1.5327,0.6657,27
164,[256],"[(256, 'silu')]",0.1,0.97,258,0.01,0.1,1.5333,0.6568,14
165,[256→64],"[(256, 'silu'), (64, 'leaky_relu')]",0.5,0.97,512,0.01,0.01,1.5334,0.6277,51
166,[512],"[(512, 'silu')]",0.3,0.97,512,0.01,0.001,1.5343,0.6837,18
167,[256],"[(256, 'silu')]",0.1,0.99,258,0.01,0.1,1.5346,0.6585,14
168,[512],"[(512, 'gelu')]",0.5,0.99,258,0.01,0.001,1.5355,0.6661,17
169,[256],"[(256, 'gelu')]",0.5,0.97,258,0.01,0.01,1.5357,0.664,19
170,[512→64],"[(512, 'silu'), (64, 'gelu')]",0.3,0.97,258,0.01,0.1,1.5361,0.6661,24
171,[256],"[(256, 'leaky_relu')]",0.1,0.97,258,0.01,0.1,1.5369,0.6726,18
172,[512],"[(512, 'leaky_relu')]",0.1,0.99,258,0.01,0.1,1.5382,0.6847,14
173,[256],"[(256, 'leaky_relu')]",0.3,0.97,258,0.01,0.01,1.5416,0.6803,18
174,[512],"[(512, 'silu')]",0.1,0.99,258,0.01,0.1,1.5425,0.6778,14
175,[256],"[(256, 'silu')]",0.1,0.97,512,0.01,0.1,1.5429,0.6748,19
176,[256],"[(256, 'gelu')]",0.3,0.97,258,0.01,0.001,1.543,0.6784,17
177,[512],"[(512, 'silu')]",0.3,0.99,512,0.01,0.01,1.5433,0.6762,15
178,[512],"[(512, 'gelu')]",0.1,0.97,512,0.01,0.001,1.5434,0.6819,16
179,[256],"[(256, 'silu')]",0.3,0.97,258,0.01,0.01,1.544,0.6763,15
180,[512],"[(512, 'silu')]",0.1,0.99,512,0.01,0.001,1.5452,0.6774,16
181,[512],"[(512, 'silu')]",0.1,0.97,512,0.01,0.01,1.5457,0.6831,16
182,[256],"[(256, 'leaky_relu')]",0.1,0.97,512,0.01,0.001,1.5459,0.6669,18
183,[256→64],"[(256, 'silu'), (64, 'gelu')]",0.3,0.99,512,0.01,0.1,1.5467,0.621,20
